SentimentValue,SerialNumber,Tweet
2,1,teacher are punctual but they should also give us the some practical knowledge other than theortical
4,2,Good 
4,3,Excellent lectures are delivered by teachers and all teachers are very punctual.
4,4,Good
4,5,teachers give us all the information required to improve the performance.
4,6,Yes
4,7,good and punctual
4,8,It is good
4,9,Good
4,10,Good
4,11,It's good when compare with my Btech lectures and teaching activities.
4,12,Good
4,13,way of teaching is good
2,14,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. "
4,15,Good
4,16,Good 
4,17,As compared to other colleges and university our university is perfect in all the aspects
4,18,Good
4,19,Lectures helps in clear our concept
2,20,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring.A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student."
4,21,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. "
4,22,Good
4,23,Good
4,24,lecturer are punctual and can interact them easily.
4,25,Good
4,26,Good
2,27,Punctuality is good. Most of the teachers are not interacting with students .
4,28,Good
4,29,nice
0,30,lecture delivery is not so good
4,31,It's good
4,32,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture"
2,33,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems"
4,34,Perfect
4,35,It is really gud
2,36,Very good teaching and management but too much load on student and working hours
0,37,in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.
4,38,According to me everything is going well in accordance to interaction.More than enough is served. 
2,39,Very good teaching and management but too much load on student and working hours
0,40,not effective and satisfactory in terms of lecture delivery by all the faculty .
4,41,Good
4,42,Good
4,43,Accurate
4,44,It's good
4,45,Good
4,46,it is good depending on the faculty
4,47,"maintained punctuality, good lecture delivery"
2,48,average
2,49,average
4,50,good
4,51,good
4,52,good
4,53,good
2,54,average
4,55,good
4,56,"it is quite good , depending on teacher and their experience"
4,57,"it is quite good , depends upon teacher and their experience"
4,58,the way of teaching is good but the time more than enough
4,59,good teaching delivery
4,60,"good, teacher is delivery the lecture in the best way they can"
2,61,good and qualified teachers but few lacks in interaction with students and fails to describe a topic
2,62,average
4,63,"very good teaching facilities, lecture given are fruitful and teachers are punctual"
2,64,interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.
4,65,all things are good
4,66,all things are good
4,67,all activties are good
4,68,all activties are good
4,69,good
4,70,All is good. no other university is so serious about the concept of practicals.
4,71,"lecture delivery depends on teacher's knowledge, punctuality is good"
4,72,Good
4,73,way of teaching is average
0,74,not so good
2,75,average
4,76,good
4,77,the staff is highly punctual ad interactive and encourage students to participate in the class
4,78,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved"
4,79,good delivery
4,80,good
4,81,"our university is good in terms of lecture delivery,interaction and punctuality"
4,82,good
4,83,very good
4,84,good
4,85,"interaction satisfied, lecture delivery good,punctuality always on time"
4,86,Excellent but it depends upon teacher
4,87,good
4,88,good
4,89,Good
4,90,good
4,91,Good
4,92,Good
4,93, very good.
4,94,it is ok
0,95,some teachers aren't doing their jobs in very well manner
4,96,Some of the teachers are not well experienced but they are interactive and helpful and punctual.
2,97,not all the teachers are teaching well but it's fine
4,98,EXCELLENT
4,99,"The faculty is good ,interaction between student and teacher is also good"
0,100,not good
4,101,Good
4,102,Good
